author,family_name,given_name,orcid,article
https://github.com/arcangelo7/time_agnostic/ra/110284,A. Díaz-Faes,Adrian,http://orcid.org/0000-0003-1928-4608,https://github.com/arcangelo7/time_agnostic/br/78052
https://github.com/arcangelo7/time_agnostic/ra/97273,AL-Tabbaa,Omar,http://orcid.org/0000-0003-2669-4576,https://github.com/arcangelo7/time_agnostic/br/2822
https://github.com/arcangelo7/time_agnostic/ra/184124,Aalbersberg,IJsbrand Jan,http://orcid.org/0000-0002-0209-4480,https://github.com/arcangelo7/time_agnostic/br/101835
https://github.com/arcangelo7/time_agnostic/ra/173846,Aalto,Juha,http://orcid.org/0000-0001-6819-4911,https://github.com/arcangelo7/time_agnostic/br/102757
https://github.com/arcangelo7/time_agnostic/ra/82110,Aazam,Mohammad,http://orcid.org/0000-0002-5473-6684,https://github.com/arcangelo7/time_agnostic/br/61702
https://github.com/arcangelo7/time_agnostic/ra/22125,Ab Razak,Mohd Faizal,http://orcid.org/0000-0002-7388-4340,https://github.com/arcangelo7/time_agnostic/br/150314
https://github.com/arcangelo7/time_agnostic/ra/233908,Ab Razak,Mohd Faizal,http://orcid.org/0000-0002-7388-4340,https://github.com/arcangelo7/time_agnostic/br/146171
https://github.com/arcangelo7/time_agnostic/ra/206079,Abad-Alcalá,Leopoldo,http://orcid.org/0000-0002-4194-6404,https://github.com/arcangelo7/time_agnostic/br/130553
https://github.com/arcangelo7/time_agnostic/ra/14535,Abad-García,Francisca,http://orcid.org/0000-0001-5611-4996,https://github.com/arcangelo7/time_agnostic/br/85314
https://github.com/arcangelo7/time_agnostic/ra/216550,Abad-García,Francisca,http://orcid.org/0000-0001-5611-4996,https://github.com/arcangelo7/time_agnostic/br/85314
https://github.com/arcangelo7/time_agnostic/ra/204393,Abadal,Ernest,http://orcid.org/0000-0002-9151-6437,https://github.com/arcangelo7/time_agnostic/br/122156
https://github.com/arcangelo7/time_agnostic/ra/133154,Abadal,Ernest,http://orcid.org/0000-0002-9151-6437,https://github.com/arcangelo7/time_agnostic/br/87319
https://github.com/arcangelo7/time_agnostic/ra/18767,Abalkina,Anna,http://orcid.org/0000-0003-1469-4907,https://github.com/arcangelo7/time_agnostic/br/119899
https://github.com/arcangelo7/time_agnostic/ra/171197,Abbasi,Rabeeh Ayaz,http://orcid.org/0000-0002-3787-7039,https://github.com/arcangelo7/time_agnostic/br/102940
https://github.com/arcangelo7/time_agnostic/ra/153256,AbdAllah,Abdelhalim,http://orcid.org/0000-0002-3441-9219,https://github.com/arcangelo7/time_agnostic/br/100830
https://github.com/arcangelo7/time_agnostic/ra/247461,Abdel-Raheem,Esam,http://orcid.org/0000-0001-7596-2077,https://github.com/arcangelo7/time_agnostic/br/152816
https://github.com/arcangelo7/time_agnostic/ra/61876,Abdelkader,Mohamed,http://orcid.org/0000-0002-7099-9214,https://github.com/arcangelo7/time_agnostic/br/54299
https://github.com/arcangelo7/time_agnostic/ra/61885,Abdelkader,Mohamed,http://orcid.org/0000-0002-7099-9214,https://github.com/arcangelo7/time_agnostic/br/54300
https://github.com/arcangelo7/time_agnostic/ra/136289,Abdill,Richard J,http://orcid.org/0000-0001-9565-5832,https://github.com/arcangelo7/time_agnostic/br/92099
https://github.com/arcangelo7/time_agnostic/ra/208240,Abdollahi,Mohammad,http://orcid.org/0000-0003-0123-1209,https://github.com/arcangelo7/time_agnostic/br/133073
https://github.com/arcangelo7/time_agnostic/ra/177181,Abdul Manan,Muhammad Marizwan,http://orcid.org/0000-0001-7321-8770,https://github.com/arcangelo7/time_agnostic/br/111319
https://github.com/arcangelo7/time_agnostic/ra/22100,Abdul-Majeed,Ghassan,http://orcid.org/0000-0002-6398-6968,https://github.com/arcangelo7/time_agnostic/br/150175
https://github.com/arcangelo7/time_agnostic/ra/102657,Abdullah,Abrizah,http://orcid.org/0000-0002-8224-5268,https://github.com/arcangelo7/time_agnostic/br/72643
https://github.com/arcangelo7/time_agnostic/ra/171869,Abdullah,Nor Aniza,http://orcid.org/0000-0001-6218-8772,https://github.com/arcangelo7/time_agnostic/br/111467
https://github.com/arcangelo7/time_agnostic/ra/62091,Abedinnia,Hamid,http://orcid.org/0000-0002-5382-0278,https://github.com/arcangelo7/time_agnostic/br/41931
https://github.com/arcangelo7/time_agnostic/ra/178789,Aboagye,E,http://orcid.org/0000-0001-5709-5387,https://github.com/arcangelo7/time_agnostic/br/109224
https://github.com/arcangelo7/time_agnostic/ra/17422,Aboagye,Emmanuel,http://orcid.org/0000-0001-5709-5387,https://github.com/arcangelo7/time_agnostic/br/109208
https://github.com/arcangelo7/time_agnostic/ra/178981,Abonyi,János,http://orcid.org/0000-0001-8593-1493,https://github.com/arcangelo7/time_agnostic/br/109891
https://github.com/arcangelo7/time_agnostic/ra/163755,Abrahams,B.,http://orcid.org/0000-0002-5919-4052,https://github.com/arcangelo7/time_agnostic/br/97476
https://github.com/arcangelo7/time_agnostic/ra/56021,Abram,Jenica K,http://orcid.org/0000-0002-1110-0272,https://github.com/arcangelo7/time_agnostic/br/38813
https://github.com/arcangelo7/time_agnostic/ra/13347,Abramo,Giovanni,http://orcid.org/0000-0003-0731-3635,https://github.com/arcangelo7/time_agnostic/br/76751
https://github.com/arcangelo7/time_agnostic/ra/57250,Abrizah,A.,http://orcid.org/0000-0002-8224-5268,https://github.com/arcangelo7/time_agnostic/br/43644
https://github.com/arcangelo7/time_agnostic/ra/14064,Abrizah,A.,http://orcid.org/0000-0002-8224-5268,https://github.com/arcangelo7/time_agnostic/br/61455
https://github.com/arcangelo7/time_agnostic/ra/15388,Abrizah,A.,http://orcid.org/0000-0002-8224-5268,https://github.com/arcangelo7/time_agnostic/br/92871
https://github.com/arcangelo7/time_agnostic/ra/212852,Abrizah,A.,http://orcid.org/0000-0002-8224-5268,https://github.com/arcangelo7/time_agnostic/br/92871
https://github.com/arcangelo7/time_agnostic/ra/86452,Abrizah,A.,http://orcid.org/0000-0002-8224-5268,https://github.com/arcangelo7/time_agnostic/br/61455
https://github.com/arcangelo7/time_agnostic/ra/130476,Abrizah,A.,http://orcid.org/0000-0002-8224-5268,https://github.com/arcangelo7/time_agnostic/br/72640
https://github.com/arcangelo7/time_agnostic/ra/136238,Abrizah,Abdullah,http://orcid.org/0000-0002-8224-5268,https://github.com/arcangelo7/time_agnostic/br/92055
https://github.com/arcangelo7/time_agnostic/ra/140512,Abrizah,Abdullah,http://orcid.org/0000-0002-8224-5268,https://github.com/arcangelo7/time_agnostic/br/103256
https://github.com/arcangelo7/time_agnostic/ra/91359,Abrizah,Abdullah,http://orcid.org/0000-0002-8224-5268,https://github.com/arcangelo7/time_agnostic/br/52579
https://github.com/arcangelo7/time_agnostic/ra/14663,AbuRa’ed,Ahmed,http://orcid.org/0000-0002-6241-7755,https://github.com/arcangelo7/time_agnostic/br/86674
https://github.com/arcangelo7/time_agnostic/ra/166074,Acarali,Dilara,http://orcid.org/0000-0003-1787-6300,https://github.com/arcangelo7/time_agnostic/br/111418
https://github.com/arcangelo7/time_agnostic/ra/94233,Aceituno-Aceituno,Pedro,http://orcid.org/0000-0001-9034-8673,https://github.com/arcangelo7/time_agnostic/br/60049
https://github.com/arcangelo7/time_agnostic/ra/89992,Acerbi,Alberto,http://orcid.org/0000-0001-5827-8003,https://github.com/arcangelo7/time_agnostic/br/66360
https://github.com/arcangelo7/time_agnostic/ra/156209,Achakulvisut,Titipat,http://orcid.org/0000-0002-2124-2979,https://github.com/arcangelo7/time_agnostic/br/102206
https://github.com/arcangelo7/time_agnostic/ra/153209,Ackerman,Joshua M.,http://orcid.org/0000-0001-6322-2194,https://github.com/arcangelo7/time_agnostic/br/100813
